學習條件,招式
基礎,冰凍牙
基礎,火焰牙
基礎,雷電牙
基礎,撞擊
基礎,鬼面
基礎,搖尾巴
基礎,撒嬌
Lv7,咬住
Lv13,舌舔
Lv19,頭錘
Lv25,吼叫
Lv31,憤怒
Lv37,嬉鬧
Lv43,以牙還牙
Lv49,咬碎
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM35,噴射火焰
HM36,污泥炸彈
HM38,大字爆炎
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM50,過熱
HM56,投擲
HM66,以牙還牙
HM73,電磁波
HM78,重踏
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM93,瘋狂伏特
HM95,大聲咆哮
HM99,魔法閃耀
HM100,密語
遺,假哭
遺,冰凍牙
遺,出奇一擊
遺,咬碎
遺,打鼾
遺,捨身衝撞
遺,揮指
遺,模仿
遺,治癒鈴聲
遺,清醒
遺,火焰牙
遺,真氣拳
遺,禮物
遺,近身戰
遺,雷電牙
