學習條件,招式
基礎,異次元洞
基礎,戲法
基礎,同命
基礎,交換場地
基礎,念力
Lv6,驚嚇
Lv10,魔法反射
Lv15,光牆
Lv19,幻象光線
Lv25,特性互換
Lv29,力量平分
Lv29,防守平分
Lv35,潛靈奇襲
Lv46,意念頭錘
Lv50,奇妙空間
Lv50,戲法空間
Lv55,暗影球
Lv68,詭計
Lv75,精神強念
Lv85,異次元洞
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM46,小偷
HM48,輪唱
HM52,真氣彈
HM53,能量球
HM56,投擲
HM57,充電光束
HM60,延後
HM63,查封
HM68,終極衝擊
HM73,電磁波
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM97,惡之波動
HM100,密語
,
,沒有相關技能
