學習條件,招式
基礎,雷電牙
基礎,龍之怒
Lv8,封印
Lv15,原始之力
Lv22,十萬伏特
Lv29,龍息
Lv36,劈開
Lv43,意念頭錘
Lv50,交錯閃電
Lv54,龍爪
Lv64,封印
Lv71,咬碎
Lv78,打雷
Lv85,逆鱗
Lv92,巨聲
Lv100,雷擊
HM02,龍爪
HM06,劇毒
HM10,覺醒力量
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM19,羽棲
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM49,回聲
HM51,鋼翼
HM52,真氣彈
HM56,投擲
HM57,充電光束
HM59,狂舞揮打
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM71,尖石攻擊
HM72,伏特替換
HM73,電磁波
HM76,飛翔
HM80,岩崩
HM82,龍尾
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM93,瘋狂伏特
HM100,密語
教,流星群
