學習條件,招式
基礎,泰山壓頂
基礎,毒液陷阱
基礎,垃圾射擊
基礎,絞緊
基礎,拍擊
基礎,哈欠
基礎,毒瓦斯
基礎,污泥攻擊
Lv5,哈欠
Lv8,毒瓦斯
Lv10,污泥攻擊
Lv12,瞬間失憶
Lv17,酸液炸彈
Lv20,再來一次
Lv25,劇毒
Lv30,蓄力
Lv30,噴出
Lv30,吞下
Lv37,污泥炸彈
Lv42,胃液
Lv49,打嗝
Lv54,絞緊
Lv61,垃圾射擊
HM06,劇毒
HM09,毒液衝擊
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM30,暗影球
HM32,影子分身
HM34,污泥波
HM36,污泥炸彈
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM64,大爆炸
HM68,終極衝擊
HM78,重踏
HM83,死纏爛打
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,分擔痛楚
遺,同命
遺,垃圾射擊
遺,擲泥
遺,毒液陷阱
遺,溶化
遺,濁霧
遺,詛咒
