學習條件,招式
基礎,飛翔
基礎,守住
基礎,龍尾
基礎,火焰牙
基礎,雷電牙
基礎,憤怒
基礎,火花
基礎,瞪眼
基礎,咬住
Lv4,火花
Lv7,瞪眼
Lv10,咬住
Lv13,龍息
Lv17,頭錘
Lv21,聚氣
Lv25,咬碎
Lv29,龍爪
Lv35,意念頭錘
Lv42,鬼面
Lv49,噴射火焰
Lv63,捨身衝撞
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM18,求雨
HM19,羽棲
HM21,遷怒
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM51,鋼翼
HM59,狂舞揮打
HM65,暗影爪
HM68,終極衝擊
HM71,尖石攻擊
HM76,飛翔
HM78,重踏
HM80,岩崩
HM82,龍尾
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,大鬧一番
遺,挺住
遺,水炮
遺,火焰牙
遺,變圓
遺,龍之俯衝
遺,龍之怒
遺,龍之波動
遺,龍之舞
遺,龍捲風
教,流星群
