學習條件,招式
基礎,多屬性攻擊
基礎,回復封鎖
基礎,封印
基礎,鐵頭
基礎,劇毒牙
基礎,火焰牙
基礎,冰凍牙
基礎,雷電牙
基礎,撞擊
Lv5,憤怒
Lv10,追打
Lv15,咬住
Lv20,燕返
Lv25,撕裂爪
Lv30,鬼面
Lv35,十字剪
Lv40,猛撞
Lv45,金屬音
Lv50,咬碎
Lv55,二連擊
Lv60,空氣斬
Lv65,懲罰
Lv70,旋風刀
Lv75,三重攻擊
Lv80,捨身衝撞
Lv85,拋下狠話
HM01,自我激勵
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM24,十萬伏特
HM27,報恩
HM30,暗影球
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM40,燕返
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM48,輪唱
HM51,鋼翼
HM64,大爆炸
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM73,電磁波
HM75,劍舞
HM80,岩崩
HM81,十字剪
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM91,加農光炮
HM94,衝浪
HM95,大聲咆哮
HM100,密語
教,流星群
