學習條件,招式
基礎,撞擊
Lv4,瞪眼
Lv8,碎岩
Lv11,聚氣
Lv15,圍攻
Lv18,鬼面
Lv22,猛撞
Lv25,傳遞禮物
Lv29,大鬧一番
Lv32,健美
Lv36,捨身衝撞
Lv39,投擲
Lv43,近身戰
Lv46,起死回生
Lv50,終極衝擊
HM01,自我激勵
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM23,擊落
HM26,地震
HM27,報恩
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM53,能量球
HM56,投擲
HM59,狂舞揮打
HM62,雜技
HM66,以牙還牙
HM68,終極衝擊
HM74,陀螺球
HM78,重踏
HM80,岩崩
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM100,密語
遺,佯攻
遺,借力摔
遺,地球上投
遺,快速防守
遺,鐵頭
遺,電光一閃
