學習條件,招式
基礎,雷電牙
基礎,冰凍牙
基礎,火焰牙
基礎,咬住
基礎,毒針
基礎,瞪眼
基礎,拍落
Lv5,拍落
Lv9,飛彈針
Lv13,點穴
Lv16,追打
Lv20,蟲咬
Lv23,劇毒牙
Lv27,毒液衝擊
Lv30,磨爪
Lv34,毒菱
Lv38,暗襲要害
Lv43,鬼面
Lv49,咬碎
Lv53,致命針刺
Lv57,十字毒刃
HM05,吼叫
HM06,劇毒
HM09,毒液衝擊
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM26,地震
HM27,報恩
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM36,污泥炸彈
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM54,點到為止
HM56,投擲
HM59,狂舞揮打
HM66,以牙還牙
HM68,終極衝擊
HM75,劍舞
HM78,重踏
HM80,岩崩
HM81,十字剪
HM83,死纏爛打
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
,
遺,出奇一擊
遺,刺耳聲
遺,劈開
遺,吹飛
遺,奇異之光
遺,暗襲要害
遺,毒尾
遺,潑沙
遺,追打
遺,鐵尾
遺,雙針
遺,高速移動
