學習條件,招式
基礎,劈開
基礎,超級角擊
基礎,撞擊
基礎,搖尾巴
基礎,水槍
基礎,玩水
Lv5,搖尾巴
Lv7,水槍
Lv11,玩水
Lv13,聚氣
Lv18,貝殼刃
Lv21,連斬
Lv25,水之波動
Lv29,報復
Lv34,水流噴射
Lv39,再來一次
Lv46,水流尾
Lv51,報仇
Lv58,劍舞
Lv63,水炮
HM01,自我激勵
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM32,影子分身
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM54,點到為止
HM55,熱水
HM56,投擲
HM67,修長之角
HM68,終極衝擊
HM75,劍舞
HM81,十字剪
HM82,龍尾
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM100,密語
,
遺,仿效
遺,刺耳聲
遺,惡意追擊
遺,暗襲要害
遺,王牌
遺,看穿
遺,空氣斬
遺,鹽水
教,加農水炮
教,水之誓約
