學習條件,招式
基礎,踢倒
基礎,瞪眼
基礎,聚氣
基礎,空手劈
Lv3,聚氣
Lv7,空手劈
Lv9,識破
Lv13,下盤踢
Lv15,地球上投
Lv19,報復
Lv21,拍落
Lv25,借力摔
Lv27,喚醒巴掌
Lv33,二連劈
Lv37,地獄翻滾
Lv43,健美
Lv47,十字劈
Lv53,鬼面
Lv57,爆裂拳
HM01,自我激勵
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM16,光牆
HM17,守住
HM18,求雨
HM21,遷怒
HM23,擊落
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM66,以牙還牙
HM78,重踏
HM80,岩崩
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,再來一次
遺,冰凍拳
遺,力量戲法
遺,子彈拳
遺,快速防守
遺,拍落
遺,撓癢
遺,清醒
遺,火焰拳
遺,瑜伽姿勢
遺,近身戰
遺,迴旋踢
遺,重磅衝撞
遺,雙倍奉還
遺,雷電拳
