學習條件,招式
基礎,擋路
基礎,大晴天
基礎,求雨
基礎,撞擊
基礎,念力
基礎,催眠術
基礎,封印
Lv5,催眠術
Lv9,封印
Lv11,奇異之光
Lv15,精神波
Lv19,鐵壁
Lv21,出奇一擊
Lv25,神秘守護
Lv29,預知未來
Lv31,金屬音
Lv36,陀螺球
Lv42,神通力
Lv46,以牙還牙
Lv52,回復封鎖
Lv58,重磅衝撞
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM37,沙暴
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM57,充電光束
HM64,大爆炸
HM66,以牙還牙
HM68,終極衝擊
HM69,岩石打磨
HM74,陀螺球
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM92,戲法空間
HM100,密語
,沒有相關技能
