學習條件,招式
基礎,精神波
基礎,變圓
Lv5,幸運咒語
Lv7,哈欠
Lv11,幻象光線
Lv13,封印
Lv17,月光
Lv19,催眠術
Lv23,意念頭錘
Lv25,同步干擾
Lv29,惡夢
Lv31,預知未來
Lv35,冥想
Lv37,精神強念
Lv41,食夢
Lv43,意念移物
Lv47,輔助力量
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM39,岩石封鎖
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM53,能量球
HM57,充電光束
HM73,電磁波
HM74,陀螺球
HM77,自我暗示
HM80,岩崩
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,
遺,夢話
遺,屏障
遺,幫助
遺,接棒
遺,治癒之願
遺,秘密之力
遺,詛咒
遺,音爆
遺,高速星星
遺,魔法反射
