學習條件,招式
基礎,瞪眼
基礎,緊束
Lv7,黑夜魔影
Lv13,瞬間移動
Lv19,拍落
Lv25,追打
Lv31,精神強念
Lv37,搶奪
Lv43,精神轉移
Lv49,意念頭錘
Lv55,宇宙力量
Lv61,自我再生
Lv67,精神突進
Lv73,破壞光線
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM53,能量球
HM56,投擲
HM57,充電光束
HM59,狂舞揮打
HM68,終極衝擊
HM73,電磁波
HM77,自我暗示
HM80,岩崩
HM84,毒擊
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM92,戲法空間
HM97,惡之波動
HM100,密語
,沒有相關技能
