學習條件,招式
未進化,誘惑
基礎,抓
基礎,叫聲
基礎,借助
基礎,潑沙
Lv3,叫聲
Lv6,借助
Lv10,潑沙
Lv12,亂抓
Lv15,追打
Lv19,無理取鬧
Lv22,擊掌奇襲
Lv26,磨爪
Lv31,惡意追擊
Lv34,劈開
Lv38,挑釁
Lv43,暗襲要害
Lv47,搶奪
Lv50,詭計
Lv55,突襲
Lv58,嬉鬧
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM30,暗影球
HM32,影子分身
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM63,查封
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM73,電磁波
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
遺,仿效
遺,假哭
遺,再來一次
遺,出奇一擊
遺,哈欠
遺,撒嬌
遺,欺詐
遺,渴望
遺,聚寶功
