學習條件,招式
基礎,致命針刺
基礎,水炮
基礎,同命
基礎,水槍
基礎,撒菱
基礎,撞擊
基礎,毒針
Lv9,變硬
Lv9,變小
Lv13,泡沫
Lv17,滾動
Lv21,毒菱
Lv25,蓄力
Lv25,噴出
Lv29,報復
Lv33,鹽水
Lv37,飛彈針
Lv41,猛撞
Lv45,水流尾
Lv49,毒擊
Lv53,同命
Lv57,水炮
Lv60,致命針刺
HM06,劇毒
HM07,冰雹
HM09,毒液衝擊
HM10,覺醒力量
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM30,暗影球
HM32,影子分身
HM34,污泥波
HM36,污泥炸彈
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM55,熱水
HM64,大爆炸
HM66,以牙還牙
HM73,電磁波
HM74,陀螺球
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM100,密語
,
遺,信號光束
遺,抓狂
遺,水之波動
遺,水流噴射
遺,泡沫光線
遺,超音波
遺,酸液炸彈
遺,驚嚇
遺,鹽水
遺,黑霧
