學習條件,招式
基礎,念力
Lv4,您先請
Lv8,挑釁
Lv11,延後
Lv15,輔助力量
Lv18,自我暗示
Lv22,出奇一擊
Lv25,詭計
Lv29,意念頭錘
Lv32,號令
Lv36,欺詐
Lv39,冥想
Lv43,精神強念
Lv46,預知未來
Lv50,戲法空間
HM01,自我激勵
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM52,真氣彈
HM53,能量球
HM56,投擲
HM57,充電光束
HM59,狂舞揮打
HM60,延後
HM63,查封
HM66,以牙還牙
HM68,終極衝擊
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM96,自然之力
HM100,密語
,
遺,奇妙空間
遺,神通力
遺,精神場地
