學習條件,招式
未進化,撞擊
基礎,亂擊
基礎,原始之力
基礎,啄
基礎,氣味偵測
基礎,玩泥巴
基礎,細雪
Lv5,玩泥巴
Lv8,細雪
Lv11,擲泥
Lv14,挺住
Lv18,泥巴炸彈
Lv21,冰凍之風
Lv24,冰凍牙
Lv28,猛撞
Lv37,白霧
Lv41,大鬧一番
Lv46,地震
Lv52,暴風雪
Lv58,瞬間失憶
HM05,吼叫
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM21,遷怒
HM26,地震
HM27,報恩
HM32,影子分身
HM33,反射壁
HM37,沙暴
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM68,終極衝擊
HM71,尖石攻擊
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,冰柱墜擊
遺,冰錐
遺,冷凍乾燥
遺,原始之力
遺,咬住
遺,地裂
遺,捨身衝撞
遺,泥巴射擊
遺,泥巴射擊
遺,泰山壓頂
遺,猛撞
遺,詛咒
遺,隱形岩
遺,雪崩
