學習條件,招式
未進化,鸚鵡學舌
基礎,龍息
基礎,神鳥猛擊
基礎,啄食
基礎,啄
基礎,叫聲
基礎,驚嚇
基礎,唱歌
Lv3,驚嚇
Lv5,唱歌
Lv7,亂擊
Lv9,神秘守護
Lv11,魅惑之聲
Lv14,白霧
Lv17,輪唱
Lv20,自然之恩
Lv23,猛撞
Lv26,煥然一新
Lv30,龍之舞
Lv34,棉花防守
Lv40,龍之波動
Lv46,滅亡之歌
Lv52,月亮之力
Lv59,神鳥猛擊
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM15,破壞光線
HM17,守住
HM18,求雨
HM19,羽棲
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM51,鋼翼
HM68,終極衝擊
HM76,飛翔
HM77,自我暗示
HM78,重踏
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM99,魔法閃耀
HM100,密語
遺,力量互換
遺,巨聲
遺,憤怒
遺,羽棲
遺,羽毛舞
遺,追打
遺,鋼翼
遺,高速移動
遺,黑霧
遺,龍之俯衝
教,流星群
