學習條件,招式
基礎,看穿
基礎,撞擊
基礎,磨爪
Lv4,空手劈
Lv8,翅膀攻擊
Lv12,羽棲
Lv16,燕返
Lv20,再來一次
Lv24,投擲
Lv28,飛身重壓
Lv32,彈跳
Lv36,蠻幹
Lv40,羽毛舞
Lv44,飛膝踢
Lv48,神鳥猛擊
Lv55,自由落體
Lv60,劍舞
HM01,自我激勵
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM17,守住
HM18,求雨
HM19,羽棲
HM21,遷怒
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM47,下盤踢
HM48,輪唱
HM51,鋼翼
HM52,真氣彈
HM54,點到為止
HM56,投擲
HM58,自由落體
HM62,雜技
HM66,以牙還牙
HM68,終極衝擊
HM71,尖石攻擊
HM75,劍舞
HM76,飛翔
HM80,岩崩
HM81,十字剪
HM84,毒擊
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM100,密語
,
遺,交換場地
遺,快速防守
遺,找夥伴
遺,接棒
遺,搶先一步
遺,玩泥巴
遺,高速移動
