學習條件,招式
基礎,雷電拳
基礎,濁霧
基礎,瞪眼
基礎,火花
基礎,煙幕
Lv5,火花
Lv8,煙幕
Lv12,出奇一擊
Lv15,火焰旋渦
Lv19,清除之煙
Lv22,烈焰濺射
Lv26,奇異之光
Lv29,火焰拳
Lv36,噴煙
Lv42,大晴天
Lv49,噴射火焰
Lv55,大字爆炎
Lv62,破壞光線
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM26,地震
HM27,報恩
HM29,精神強念
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM41,無理取鬧
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM50,過熱
HM52,真氣彈
HM56,投擲
HM61,鬼火
HM68,終極衝擊
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
遺,刺耳聲
遺,力量互換
遺,十字劈
遺,屏障
遺,打嗝
遺,爆裂拳
遺,百萬噸重拳
遺,空手劈
遺,聚氣
遺,腹鼓
遺,鐵尾
遺,閃焰衝鋒
遺,雷電拳
遺,音速拳
