學習條件,招式
基礎,原始之力
基礎,泥巴射擊
Lv5,鬼面
Lv15,大地之力
Lv20,噴煙
Lv30,睡覺
Lv35,地震
Lv45,斷崖之劍
Lv50,健美
Lv60,日光束
Lv65,地裂
Lv75,大字爆炎
Lv80,臂錘
Lv90,噴火
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM23,擊落
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM50,過熱
HM52,真氣彈
HM56,投擲
HM59,狂舞揮打
HM65,暗影爪
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM73,電磁波
HM75,劍舞
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM82,龍尾
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,沒有相關技能
