學習條件,招式
基礎,水槍
基礎,水流噴射
基礎,耕地
基礎,撞擊
基礎,叫聲
Lv5,變圓
Lv9,滾動
Lv13,頭錘
Lv18,必殺門牙
Lv23,哈欠
Lv28,咬碎
Lv33,猛撞
Lv38,憤怒門牙
Lv43,劍舞
Lv48,瞬間失憶
Lv53,蠻力
Lv58,詛咒
HM01,自我激勵
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM30,暗影球
HM32,影子分身
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM55,熱水
HM56,投擲
HM57,充電光束
HM68,終極衝擊
HM73,電磁波
HM75,劍舞
HM78,重踏
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM100,密語
遺,亂抓
遺,夢話
遺,挺住
遺,捨身衝撞
遺,攀岩
遺,氣味偵測
遺,水流尾
遺,滾動
遺,火箭頭錘
遺,玩水
遺,變圓
遺,電光一閃
