學習條件,招式
未進化,抓
基礎,誘惑
基礎,定身法
基礎,再來一次
基礎,無理取鬧
基礎,虛張聲勢
基礎,拍擊
基礎,毒瓦斯
基礎,火花
基礎,甜甜香氣
Lv5,火花
Lv8,甜甜香氣
Lv13,龍之怒
Lv16,濁霧
Lv21,連環巴掌
Lv24,烈焰濺射
Lv29,劇毒
Lv32,詭計
Lv39,毒液衝擊
Lv44,噴射火焰
Lv51,毒液陷阱
Lv56,龍之波動
HM02,龍爪
HM06,劇毒
HM09,毒液衝擊
HM10,覺醒力量
HM12,挑釁
HM17,守住
HM21,遷怒
HM27,報恩
HM28,吸血
HM32,影子分身
HM34,污泥波
HM35,噴射火焰
HM36,污泥炸彈
HM38,大字爆炎
HM41,無理取鬧
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM50,過熱
HM56,投擲
HM61,鬼火
HM62,雜技
HM65,暗影爪
HM66,以牙還牙
HM82,龍尾
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,打嗝
遺,拍落
遺,搶奪
遺,擊掌奇襲
遺,潑沙
