學習條件,招式
基礎,十字毒刃
基礎,抓
基礎,麻痹粉
基礎,毒粉
基礎,吸取
Lv6,麻痹粉
Lv6,毒粉
Lv11,吸取
Lv17,連斬
Lv22,蘑菇孢子
Lv29,劈開
Lv37,生長
Lv44,終極吸取
Lv51,芳香治療
Lv59,憤怒粉
Lv66,十字剪
HM06,劇毒
HM09,毒液衝擊
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM21,遷怒
HM22,日光束
HM27,報恩
HM28,吸血
HM31,劈瓦
HM32,影子分身
HM36,污泥炸彈
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM53,能量球
HM54,點到為止
HM68,終極衝擊
HM75,劍舞
HM81,十字剪
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM96,自然之力
HM100,密語
,
遺,刺耳聲
遺,十字毒刃
遺,寄生種子
遺,幻象光線
遺,廣域防守
遺,抓狂
遺,挺住
遺,甜甜香氣
遺,耕地
遺,自然之恩
遺,致命針刺
遺,蟲咬
遺,追打
遺,金屬爪
遺,雙倍奉還
遺,高速移動
