學習條件,招式
基礎,ＤＤ金勾臂
基礎,健美
基礎,地獄突刺
基礎,抓
基礎,火花
基礎,叫聲
基礎,舌舔
Lv4,叫聲
Lv8,舌舔
Lv11,瞪眼
Lv15,火焰牙
Lv19,吼叫
Lv24,咬住
Lv28,虛張聲勢
Lv33,亂抓
Lv38,大鬧一番
Lv44,噴射火焰
Lv49,鬼面
Lv55,閃焰衝鋒
Lv60,逆鱗
Lv66,十字劈
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM21,遷怒
HM26,地震
HM27,報恩
HM28,吸血
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM41,無理取鬧
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM47,下盤踢
HM48,輪唱
HM50,過熱
HM52,真氣彈
HM56,投擲
HM59,狂舞揮打
HM60,延後
HM61,鬼火
HM62,雜技
HM63,查封
HM65,暗影爪
HM68,終極衝擊
HM75,劍舞
HM78,重踏
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
,
遺,咬碎
遺,報復
遺,擊掌奇襲
遺,泰山壓頂
遺,熱風
遺,詭計
教,火之誓約
教,爆炸烈焰
