學習條件,招式
基礎,魔法火焰
基礎,預知未來
基礎,扮演
基礎,掉包
基礎,暗影球
基礎,抓
基礎,搖尾巴
基礎,火花
基礎,長嚎
Lv5,火花
Lv11,長嚎
Lv14,蓄能焰襲
Lv18,幻象光線
Lv22,火焰旋渦
Lv28,幸運咒語
Lv31,光牆
Lv38,精神衝擊
Lv45,噴射火焰
Lv51,鬼火
Lv57,精神強念
Lv62,大晴天
Lv68,魔法空間
Lv74,大字爆炎
Lv80,預知未來
HM01,自我激勵
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM50,過熱
HM61,鬼火
HM63,查封
HM68,終極衝擊
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,
遺,催眠術
遺,熱風
遺,祈願
遺,魔法反射
教,火之誓約
教,爆炸烈焰
