學習條件,招式
未進化,種子炸彈
基礎,花瓣舞
基礎,撞擊
基礎,叫聲
基礎,寄生種子
基礎,藤鞭
Lv3,叫聲
Lv7,寄生種子
Lv9,藤鞭
Lv13,毒粉
Lv13,催眠粉
Lv15,猛撞
Lv20,飛葉快刀
Lv23,甜甜香氣
Lv28,生長
Lv31,捨身衝撞
Lv39,煩惱種子
Lv45,光合作用
Lv50,落英繽紛
Lv53,日光束
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM09,毒液衝擊
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM32,影子分身
HM36,污泥炸彈
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM53,能量球
HM68,終極衝擊
HM75,劍舞
HM78,重踏
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM96,自然之力
HM100,密語
,
遺,強力鞭打
遺,挺住
遺,撒嬌
遺,污泥攻擊
遺,火箭頭錘
遺,瞬間失憶
遺,紮根
遺,終極吸取
遺,自然之力
遺,花瓣舞
遺,草笛
遺,詛咒
遺,青草場地
遺,飛葉風暴
遺,魔法葉
教,瘋狂植物
教,草之誓約
