學習條件,招式
未進化,毒粉
基礎,音速拳
基礎,吸取
基礎,撞擊
基礎,麻痹粉
基礎,寄生種子
Lv5,麻痹粉
Lv8,寄生種子
Lv12,超級吸取
Lv15,頭錘
Lv19,佯攻
Lv22,雙倍奉還
Lv28,發勁
Lv33,心之眼
Lv39,沖天拳
Lv44,種子炸彈
Lv50,爆裂拳
HM01,自我激勵
HM06,劇毒
HM08,健美
HM09,毒液衝擊
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM36,污泥炸彈
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM53,能量球
HM54,點到為止
HM56,投擲
HM68,終極衝擊
HM71,尖石攻擊
HM75,劍舞
HM80,岩崩
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
遺,假哭
遺,吸取拳
遺,喚醒巴掌
遺,幫助
遺,撒嬌
遺,煩惱種子
遺,真氣拳
遺,種子機關槍
遺,種子炸彈
遺,自然之恩
