學習條件,招式
基礎,龍息
基礎,鬼面
Lv6,金屬爪
Lv10,原始之力
Lv15,劈開
Lv19,力量寶石
Lv24,金屬爆炸
Lv28,龍爪
Lv33,大地之力
Lv37,波導彈
Lv42,鐵尾
Lv46,時光咆哮
Lv50,加農光炮
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM49,回聲
HM50,過熱
HM65,暗影爪
HM68,終極衝擊
HM71,尖石攻擊
HM73,電磁波
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM82,龍尾
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM92,戲法空間
HM100,密語
,
教,流星群
