學習條件,招式
基礎,雷電牙
基礎,冰凍牙
基礎,火焰牙
基礎,咬住
基礎,瞪眼
基礎,沙暴
基礎,刺耳聲
Lv5,沙暴
Lv10,刺耳聲
Lv14,逐步擊破
Lv19,岩崩
Lv23,鬼面
Lv28,大鬧一番
Lv34,惡之波動
Lv41,以牙還牙
Lv47,咬碎
Lv54,地震
Lv63,尖石攻擊
Lv73,破壞光線
Lv82,終極衝擊
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM23,擊落
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM59,狂舞揮打
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM73,電磁波
HM78,重踏
HM80,岩崩
HM82,龍尾
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
遺,原始之力
遺,惡意追擊
遺,聚氣
遺,詛咒
遺,踩踏
遺,追打
遺,逆鱗
遺,鐵壁
遺,鐵尾
遺,鐵頭
遺,隱形岩
遺,龍之舞
