學習條件,招式
基礎,迎頭一擊
基礎,蟲之抵抗
基礎,潑沙
基礎,連斬
基礎,碎岩
Lv4,連斬
Lv7,碎岩
Lv10,蟲咬
Lv13,怨恨
Lv16,劍舞
Lv21,劈開
Lv26,貝殼刃
Lv31,突襲
Lv36,鐵壁
Lv41,飛彈針
Lv48,水流裂破
HM06,劇毒
HM07,冰雹
HM08,健美
HM09,毒液衝擊
HM10,覺醒力量
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM28,吸血
HM31,劈瓦
HM32,影子分身
HM34,污泥波
HM36,污泥炸彈
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM52,真氣彈
HM54,點到為止
HM55,熱水
HM56,投擲
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM75,劍舞
HM77,自我暗示
HM79,冰息
HM80,岩崩
HM81,十字剪
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM95,大聲咆哮
HM97,惡之波動
HM98,攀瀑
HM100,密語
遺,廣域防守
遺,撒菱
遺,水流噴射
遺,變硬
遺,金屬爪
