學習條件,招式
未進化,無理取鬧
基礎,近身戰
基礎,音速拳
基礎,閃焰衝鋒
基礎,抓
基礎,瞪眼
基礎,火花
基礎,挑釁
Lv7,火花
Lv9,挑釁
Lv16,亂抓
Lv19,火焰輪
Lv26,佯攻
Lv29,懲罰
Lv42,火焰旋渦
Lv52,雜技
Lv58,冥想
Lv68,閃焰衝鋒
HM01,自我激勵
HM04,冥想
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM47,下盤踢
HM48,輪唱
HM50,過熱
HM52,真氣彈
HM56,投擲
HM61,鬼火
HM62,雜技
HM65,暗影爪
HM68,終極衝擊
HM71,尖石攻擊
HM75,劍舞
HM78,重踏
HM80,岩崩
HM84,毒擊
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM100,密語
,
遺,二連踢
遺,借助
遺,再來一次
遺,地獄翻滾
遺,幫助
遺,快速防守
遺,擊掌奇襲
遺,火焰拳
遺,火焰踢
遺,熱風
遺,真氣拳
遺,聚氣
遺,雙倍奉還
遺,雷電拳
教,火之誓約
教,爆炸烈焰
