學習條件,招式
基礎,潛靈奇襲
基礎,纏繞
基礎,變小
基礎,驚嚇
基礎,起風
Lv4,驚嚇
Lv8,起風
Lv13,聚氣
Lv16,以牙還牙
Lv20,奇異之風
Lv25,蓄力
Lv27,禍不單行
Lv34,吞下
Lv34,噴出
Lv40,暗影球
Lv46,瞬間失憶
Lv52,接棒
Lv60,大爆炸
Lv65,潛靈奇襲
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM57,充電光束
HM61,鬼火
HM62,雜技
HM63,查封
HM64,大爆炸
HM66,以牙還牙
HM68,終極衝擊
HM73,電磁波
HM74,陀螺球
HM76,飛翔
HM77,自我暗示
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,催眠術
遺,同命
遺,定身法
遺,氣象球
遺,泰山壓頂
遺,清除之煙
遺,清除濃霧
遺,臨別禮物
遺,順風
遺,黑霧
