學習條件,招式
未進化,哈欠
基礎,起死回生
基礎,抓
基礎,聚氣
基礎,再來一次
基礎,吵鬧
Lv6,再來一次
Lv9,吵鬧
Lv14,亂抓
Lv17,挺住
Lv23,劈開
Lv27,逐步擊破
Lv33,雙倍奉還
Lv37,真氣拳
Lv43,起死回生
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM65,暗影爪
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
遺,劈開
遺,夢話
遺,您先請
遺,打鼾
遺,撓癢
遺,撕裂爪
遺,暗襲要害
遺,泰山壓頂
遺,臂錘
遺,詛咒
遺,追打
