學習條件,招式
未進化,玩泥巴
基礎,泥巴射擊
基礎,臂錘
基礎,撞擊
基礎,叫聲
基礎,水槍
基礎,擲泥
Lv4,水槍
Lv9,擲泥
Lv12,識破
Lv18,忍耐
Lv22,泥巴炸彈
Lv28,岩崩
Lv32,守住
Lv39,濁流
Lv44,猛撞
Lv51,地震
Lv56,蠻幹
Lv63,臂錘
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM34,污泥波
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM52,真氣彈
HM55,熱水
HM56,投擲
HM68,終極衝擊
HM71,尖石攻擊
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM100,密語
,
遺,冰球
遺,原始之力
遺,吵鬧
遺,咬住
遺,哈欠
遺,屏障
遺,廣域防守
遺,捨身衝撞
遺,污泥攻擊
遺,泥巴炸彈
遺,潮旋
遺,煥然一新
遺,詛咒
遺,踩踏
遺,鏡面反射
遺,雙倍奉還
遺,雪崩
教,加農水炮
教,水之誓約
