學習條件,招式
未進化,信號光束
基礎,幻象光線
基礎,種子機關槍
基礎,信號光束
基礎,羽棲
基礎,撞擊
基礎,泡沫
基礎,超音波
基礎,泡沫光線
Lv3,超音波
Lv7,泡沫光線
Lv11,奇異之光
Lv14,翅膀攻擊
Lv16,頭錘
Lv19,水之波動
Lv23,廣域防守
Lv27,猛撞
Lv32,高速移動
Lv36,空氣斬
Lv39,水流環
Lv46,彈跳
Lv49,水炮
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM19,羽棲
HM21,遷怒
HM26,地震
HM27,報恩
HM32,影子分身
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM55,熱水
HM62,雜技
HM68,終極衝擊
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM100,密語
遺,廣域防守
遺,摔打
遺,水炮
遺,玩水
遺,玩泥巴
遺,瞬間失憶
遺,躍起
遺,鏡面反射
遺,黑霧
遺,龍捲風
