學習條件,招式
未進化,猛撞
基礎,劈開
基礎,暗襲要害
基礎,佯攻
基礎,瞪眼
基礎,咬住
基礎,憤怒
基礎,聚氣
Lv4,憤怒
Lv8,聚氣
Lv11,水流噴射
Lv15,惡意追擊
Lv18,刺耳聲
Lv22,虛張聲勢
Lv25,冰凍牙
Lv29,鬼面
Lv34,劇毒牙
Lv40,咬碎
Lv45,高速移動
Lv51,火箭頭錘
Lv56,挑釁
Lv62,暗襲要害
HM05,吼叫
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM26,地震
HM27,報恩
HM32,影子分身
HM39,岩石封鎖
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM55,熱水
HM66,以牙還牙
HM68,終極衝擊
HM78,重踏
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM95,大聲咆哮
HM97,惡之波動
HM98,攀瀑
HM100,密語
遺,原始之力
遺,同命
遺,大鬧一番
遺,捨身衝撞
遺,水炮
遺,精神之牙
遺,高速星星
遺,鹽水
