學習條件,招式
基礎,珍藏
基礎,回收利用
基礎,舌舔
基礎,揮指
基礎,氣味偵測
基礎,撞擊
Lv4,變圓
Lv9,瞬間失憶
Lv12,舌舔
Lv17,逐步擊破
Lv20,刺耳聲
Lv25,泰山壓頂
Lv28,蓄力
Lv33,吞下
Lv36,滾動
Lv41,投擲
Lv44,腹鼓
Lv49,自然之恩
Lv50,搶奪
Lv57,珍藏
HM01,自我激勵
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM56,投擲
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM100,密語
遺,吹飛
遺,您先請
遺,意念頭錘
遺,打嗝
遺,捨身衝撞
遺,撒嬌
遺,自然之恩
遺,自爆
遺,舌舔
遺,詛咒
遺,追打
遺,雙倍奉還
