學習條件,招式
基礎,火焰彈
基礎,聚氣
基礎,念力
基礎,燒盡
基礎,電光一閃
Lv9,挺住
Lv17,頭錘
Lv25,蓄能焰襲
Lv33,起死回生
Lv41,烈焰濺射
Lv49,意念頭錘
Lv57,煉獄
Lv65,捨身衝撞
Lv73,閃焰衝鋒
Lv81,搏命
Lv89,輔助力量
Lv97,過熱
HM01,自我激勵
HM03,精神衝擊
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM16,光牆
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM48,輪唱
HM50,過熱
HM52,真氣彈
HM53,能量球
HM56,投擲
HM57,充電光束
HM61,鬼火
HM63,查封
HM68,終極衝擊
HM73,電磁波
HM77,自我暗示
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM92,戲法空間
HM93,瘋狂伏特
HM99,魔法閃耀
HM100,密語
,沒有相關技能
