學習條件,招式
基礎,自然之恩
基礎,珍藏
基礎,睡覺
基礎,念力
Lv6,封印
Lv16,看穿
Lv21,高速星星
Lv31,吵鬧
Lv36,預知未來
Lv46,詭計
Lv50,神通力
Lv61,珍藏
Lv66,自然之恩
Lv76,大爆炸
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM53,能量球
HM56,投擲
HM57,充電光束
HM62,雜技
HM64,大爆炸
HM66,以牙還牙
HM68,終極衝擊
HM73,電磁波
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,沒有相關技能
