學習條件,招式
基礎,木槌
基礎,躍起
基礎,抓
基礎,驚嚇
基礎,仿效
Lv5,影子分身
Lv10,圓瞳
Lv14,影子偷襲
Lv19,模仿
Lv23,出奇一擊
Lv28,撒嬌
Lv32,劈開
Lv37,暗影爪
Lv41,磨爪
Lv46,嬉鬧
Lv50,分擔痛楚
HM01,自我激勵
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM12,挑釁
HM15,破壞光線
HM16,光牆
HM17,守住
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM28,吸血
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM56,投擲
HM57,充電光束
HM61,鬼火
HM63,查封
HM65,暗影爪
HM66,以牙還牙
HM73,電磁波
HM75,劍舞
HM77,自我暗示
HM81,十字剪
HM83,死纏爛打
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM97,惡之波動
HM99,魔法閃耀
HM100,密語
,
遺,同命
遺,怨念
遺,惡夢
遺,詛咒
