學習條件,招式
基礎,空氣斬
基礎,順風
基礎,啄
基礎,瞪眼
基礎,黑夜魔影
基礎,瞬間移動
Lv6,黑夜魔影
Lv9,瞬間移動
Lv12,幸運咒語
Lv17,輔助力量
Lv20,奇異之風
Lv23,奇異之光
Lv29,祈願
Lv35,精神強念
Lv39,奇跡之眼
Lv43,精神轉移
Lv49,預知未來
Lv53,力量互換
Lv53,防守互換
Lv57,搶先一步
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM19,羽棲
HM21,遷怒
HM22,日光束
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM51,鋼翼
HM68,終極衝擊
HM73,電磁波
HM76,飛翔
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,
遺,交換場地
遺,出奇一擊
遺,同步干擾
遺,啄鑽
遺,單純光束
遺,意念頭錘
遺,煥然一新
遺,特性互換
遺,突襲
遺,羽棲
遺,羽毛舞
遺,鋼翼
遺,電光一閃
遺,黑霧
