學習條件,招式
基礎,拍落
Lv4,刺耳聲
Lv7,黑夜魔影
Lv10,怨恨
Lv13,影子偷襲
Lv16,鬼火
Lv19,出奇一擊
Lv22,禍不單行
Lv26,詛咒
Lv30,暗影球
Lv34,查封
Lv38,突襲
Lv42,搶奪
Lv46,怨念
Lv50,戲法
Lv54,潛靈奇襲
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM17,守住
HM18,求雨
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM57,充電光束
HM61,鬼火
HM63,查封
HM66,以牙還牙
HM73,電磁波
HM77,自我暗示
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM97,惡之波動
HM99,魔法閃耀
HM100,密語
遺,同命
遺,垃圾射擊
遺,奇異之光
遺,奇異之風
遺,定身法
遺,封印
遺,影子偷襲
遺,潛靈奇襲
遺,識破
遺,追打
遺,驚嚇
