學習條件,招式
基礎,撞擊
基礎,瞪眼
基礎,藤鞭
基礎,緊束
Lv4,瞪眼
Lv7,藤鞭
Lv10,緊束
Lv13,生長
Lv16,青草攪拌器
Lv20,寄生種子
Lv24,超級吸取
Lv28,摔打
Lv32,葉刃
Lv38,盤蜷
Lv44,終極吸取
Lv50,絞緊
Lv56,胃液
Lv62,飛葉風暴
HM01,自我激勵
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM16,光牆
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM27,報恩
HM32,影子分身
HM33,反射壁
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM53,能量球
HM59,狂舞揮打
HM68,終極衝擊
HM75,劍舞
HM82,龍尾
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM96,自然之力
HM100,密語
遺,大蛇瞪眼
遺,甜甜香氣
遺,自然之恩
遺,誘惑
遺,追打
遺,鏡面反射
遺,鐵尾
遺,青草場地
遺,魔法葉
遺,黑色目光
遺,龍捲風
教,瘋狂植物
教,草之誓約
