學習條件,招式
基礎,猛推
基礎,撞擊
基礎,搖尾巴
基礎,火花
基礎,氣味偵測
Lv3,搖尾巴
Lv7,火花
Lv9,氣味偵測
Lv13,變圓
Lv15,蓄能焰襲
Lv20,濁霧
Lv23,滾動
Lv28,猛撞
Lv31,高溫重壓
Lv36,惡意追擊
Lv39,噴射火焰
Lv44,雙刃頭錘
Lv47,吼叫
Lv52,閃焰衝鋒
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM17,守住
HM21,遷怒
HM22,日光束
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM47,下盤踢
HM48,輪唱
HM49,回聲
HM50,過熱
HM52,真氣彈
HM56,投擲
HM61,鬼火
HM71,尖石攻擊
HM74,陀螺球
HM78,重踏
HM80,岩崩
HM84,毒擊
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM93,瘋狂伏特
HM100,密語
,
遺,哈欠
遺,夢話
遺,大鬧一番
遺,泰山壓頂
遺,渴望
遺,突襲
遺,蠻力
遺,蠻幹
遺,詛咒
遺,重磅衝撞
遺,震級
教,火之誓約
