學習條件,招式
基礎,逆鱗
基礎,臂錘
基礎,地裂
基礎,擋路
基礎,泥巴射擊
基礎,岩石封鎖
基礎,封印
Lv7,懲罰
Lv13,重踏
Lv19,落石
Lv25,神通力
Lv31,劍舞
Lv37,大地之力
Lv43,岩崩
Lv49,地震
Lv55,沙暴
Lv61,地裂
Lv67,尖石攻擊
Lv73,臂錘
Lv79,逆鱗
HM04,冥想
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM15,破壞光線
HM17,守住
HM21,遷怒
HM23,擊落
HM26,地震
HM27,報恩
HM29,精神強念
HM31,劈瓦
HM32,影子分身
HM34,污泥波
HM36,污泥炸彈
HM37,沙暴
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM59,狂舞揮打
HM64,大爆炸
HM66,以牙還牙
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM75,劍舞
HM76,飛翔
HM78,重踏
HM80,岩崩
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM100,密語
,
,沒有相關技能
