學習條件,招式
基礎,破壞光線
基礎,瞬間移動
基礎,變硬
基礎,念力
基礎,高速旋轉
Lv4,高速旋轉
Lv7,擲泥
Lv10,回復封鎖
Lv13,岩石封鎖
Lv16,幻象光線
Lv19,原始之力
Lv22,宇宙力量
Lv25,力量戲法
Lv28,自爆
Lv31,神通力
Lv34,防守平分
Lv34,力量平分
Lv40,大地之力
Lv46,沙暴
Lv52,封印
Lv58,大爆炸
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM23,擊落
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM37,沙暴
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM57,充電光束
HM64,大爆炸
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM74,陀螺球
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,沒有相關技能
