學習條件,招式
基礎,致命針刺
基礎,高科技光炮
基礎,電光一閃
基礎,電磁飄浮
基礎,金屬爪
基礎,刺耳聲
Lv7,連斬
Lv11,鎖定
Lv18,蓄能焰襲
Lv22,磁鐵炸彈
Lv29,劈開
Lv33,金屬音
Lv40,信號光束
Lv44,三重攻擊
Lv51,十字剪
Lv55,蟲鳴
Lv62,單純光束
Lv66,電磁炮
Lv73,破壞光線
Lv77,自爆
HM06,劇毒
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM16,光牆
HM17,守住
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM32,影子分身
HM33,反射壁
HM35,噴射火焰
HM40,燕返
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM48,輪唱
HM53,能量球
HM57,充電光束
HM64,大爆炸
HM65,暗影爪
HM68,終極衝擊
HM69,岩石打磨
HM73,電磁波
HM76,飛翔
HM81,十字剪
HM83,死纏爛打
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM91,加農光炮
HM97,惡之波動
HM100,密語
,沒有相關技能
