學習條件,招式
未進化,噴射火焰
基礎,岩崩
基礎,地裂
基礎,噴火
基礎,叫聲
基礎,撞擊
基礎,火花
基礎,聚氣
Lv8,火花
Lv8,聚氣
Lv12,震級
Lv15,烈焰濺射
Lv19,瞬間失憶
Lv22,噴煙
Lv26,大地之力
Lv29,詛咒
Lv31,猛撞
Lv39,哈欠
Lv46,地震
Lv52,噴火
Lv59,地裂
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM50,過熱
HM61,鬼火
HM64,大爆炸
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM96,自然之力
HM100,密語
,
遺,原始之力
遺,吞下
遺,哈欠
遺,噴出
遺,挺住
遺,泥巴炸彈
遺,泰山壓頂
遺,滾動
遺,熱風
遺,生長
遺,蓄力
遺,變圓
遺,踩踏
遺,鐵頭
遺,長嚎
遺,鬼面
