學習條件,招式
未進化,躍起
基礎,流星閃沖
基礎,宇宙力量
基礎,喚醒巴掌
基礎,瞬間移動
基礎,金屬爪
Lv7,鐵頭
Lv13,金屬音
Lv19,意念頭錘
Lv23,加農光炮
Lv31,晨光
Lv37,咬碎
Lv43,金屬爆炸
Lv47,日光束
Lv59,戰吼
Lv61,閃焰衝鋒
Lv67,廣域防守
Lv73,終極衝擊
HM01,自我激勵
HM03,精神衝擊
HM04,冥想
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM32,影子分身
HM33,反射壁
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM43,蓄能焰襲
HM44,睡覺
HM48,輪唱
HM52,真氣彈
HM68,終極衝擊
HM71,尖石攻擊
HM73,電磁波
HM74,陀螺球
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM92,戲法空間
HM93,瘋狂伏特
HM95,大聲咆哮
HM100,密語
,
,沒有相關技能
