學習條件,招式
未進化,假哭
基礎,摔打
基礎,木槌
基礎,仿效
基礎,抓狂
基礎,踢倒
基礎,落石
Lv5,抓狂
Lv8,踢倒
Lv12,落石
Lv15,模仿
Lv19,出奇一擊
Lv22,淚眼汪汪
Lv26,岩石封鎖
Lv29,擋路
Lv33,岩崩
Lv36,雙倍奉還
Lv40,突襲
Lv43,捨身衝撞
Lv47,尖石攻擊
Lv50,臂錘
Lv54,雙刃頭錘
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM17,守住
HM21,遷怒
HM23,擊落
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM37,沙暴
HM39,岩石封鎖
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM56,投擲
HM64,大爆炸
HM69,岩石打磨
HM71,尖石攻擊
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM96,自然之力
HM100,密語
遺,挺住
遺,流沙地獄
遺,滾動
遺,自爆
遺,詛咒
遺,變圓
遺,變硬
遺,隱形岩
遺,頭錘
