學習條件,招式
基礎,擊掌奇襲
基礎,叫聲
基礎,搖尾巴
基礎,撞擊
Lv4,識破
Lv7,唱歌
Lv10,迷人
Lv13,魅惑之聲
Lv16,連環巴掌
Lv19,仿效
Lv22,出奇一擊
Lv25,撒嬌
Lv28,喚醒巴掌
Lv31,借助
Lv34,渴望
Lv37,治癒鈴聲
Lv40,捨身衝撞
Lv43,誘惑
Lv46,嬉鬧
HM01,自我激勵
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM30,暗影球
HM32,影子分身
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM57,充電光束
HM66,以牙還牙
HM73,電磁波
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM93,瘋狂伏特
HM100,密語
,
遺,假哭
遺,吵鬧
遺,單純光束
遺,宇宙力量
遺,幫助
遺,意念頭錘
遺,接棒
遺,撓癢
遺,擊掌奇襲
遺,泥巴炸彈
遺,珍藏
遺,祈願
遺,突襲
遺,誘惑
