學習條件,招式
基礎,蠻幹
基礎,頭錘
基礎,瞪眼
基礎,聚氣
基礎,追打
Lv6,聚氣
Lv10,追打
Lv15,猛撞
Lv19,鬼面
Lv24,惡意追擊
Lv28,逐步擊破
Lv36,原始之力
Lv43,意念頭錘
Lv51,刺耳聲
Lv58,雙刃頭錘
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM23,擊落
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM66,以牙還牙
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM75,劍舞
HM78,重踏
HM80,岩崩
HM82,龍尾
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM100,密語
,
遺,吹飛
遺,咬碎
遺,大鬧一番
遺,捨身衝撞
遺,摔打
遺,瞪眼
遺,臂錘
遺,詛咒
遺,踩踏
遺,鐵尾
遺,鐵頭
