學習條件,招式
基礎,拍擊
基礎,催眠術
Lv5,定身法
Lv9,念力
Lv13,頭錘
Lv17,毒瓦斯
Lv21,瑜伽姿勢
Lv25,幻象光線
Lv29,頭錘
Lv33,自我暗示
Lv37,同步干擾
Lv41,意念頭錘
Lv45,虛張聲勢
Lv49,精神強念
Lv53,詭計
Lv57,精神衝擊
Lv61,預知未來
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM56,投擲
HM73,電磁波
HM77,自我暗示
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,
遺,借助
遺,冰凍拳
遺,吹捧
遺,屏障
遺,扮演
遺,火焰拳
遺,特性互換
遺,秘密之力
遺,精神利刃
遺,詭計
遺,防守互換
遺,雷電拳
