學習條件,招式
未進化,天使之吻
基礎,吸取之吻
基礎,滅亡之歌
基礎,拍擊
基礎,舌舔
基礎,惡魔之吻
基礎,細雪
Lv5,舌舔
Lv8,惡魔之吻
Lv11,細雪
Lv15,連環巴掌
Lv18,冰凍拳
Lv21,愛心印章
Lv25,黑色目光
Lv28,假哭
Lv33,喚醒巴掌
Lv39,雪崩
Lv44,泰山壓頂
Lv49,絞緊
Lv55,滅亡之歌
Lv60,暴風雪
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM52,真氣彈
HM53,能量球
HM56,投擲
HM66,以牙還牙
HM68,終極衝擊
HM70,極光幕
HM77,自我暗示
HM79,冰息
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM100,密語
,
遺,冰凍拳
遺,喚醒巴掌
遺,奇跡之眼
遺,擊掌奇襲
遺,瑜伽姿勢
遺,祈願
遺,詭計
遺,誘惑
