學習條件,招式
基礎,念力
Lv4,氣味偵測
Lv8,起風
Lv12,惡意追擊
Lv15,愛心印章
Lv19,封印
Lv21,空氣利刃
Lv25,迷人
Lv29,瞬間失憶
Lv29,冥想
Lv32,空氣斬
Lv36,預知未來
Lv41,精神強念
Lv47,蠻幹
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM12,挑釁
HM16,光牆
HM17,守住
HM18,求雨
HM19,羽棲
HM20,神秘守護
HM21,遷怒
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM51,鋼翼
HM53,能量球
HM57,充電光束
HM62,雜技
HM63,查封
HM73,電磁波
HM74,陀螺球
HM76,飛翔
HM77,自我暗示
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM92,戲法空間
HM100,密語
,
遺,假哭
遺,同步干擾
遺,吹捧
遺,幫助
遺,拍落
遺,撒嬌
遺,毒液陷阱
遺,精神轉移
遺,羽棲
遺,誘惑
遺,超音波
遺,輔助力量
