學習條件,招式
未進化,圓瞳
基礎,嬉鬧
基礎,耕地
基礎,掉包
基礎,撞擊
基礎,叫聲
基礎,搖尾巴
基礎,潑沙
Lv5,搖尾巴
Lv7,潑沙
Lv11,頭錘
Lv13,氣味偵測
Lv17,玩泥巴
Lv19,亂抓
Lv24,渴望
Lv27,傳遞禮物
Lv32,劈開
Lv35,捨身衝撞
Lv40,睡覺
Lv43,腹鼓
Lv48,投擲
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM30,暗影球
HM32,影子分身
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM56,投擲
HM57,充電光束
HM65,暗影爪
HM68,終極衝擊
HM73,電磁波
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM100,密語
,
遺,單純光束
遺,夢話
遺,幫助
遺,戲法
遺,撒嬌
遺,撓癢
遺,擲泥
遺,攀岩
遺,追打
