學習條件,招式
基礎,治癒之願
基礎,幫助
基礎,祈願
基礎,精神波
基礎,神秘守護
Lv4,玩水
Lv7,撒嬌
Lv10,輔助力量
Lv13,煥然一新
Lv16,治癒波動
Lv20,龍息
Lv24,薄霧球
Lv28,精神轉移
Lv32,自我再生
Lv36,鏡面屬性
Lv41,意念頭錘
Lv46,防守平分
Lv51,精神強念
Lv56,龍之波動
Lv61,治癒之願
HM02,龍爪
HM03,精神衝擊
HM04,冥想
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM19,羽棲
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM37,沙暴
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM51,鋼翼
HM53,能量球
HM57,充電光束
HM65,暗影爪
HM68,終極衝擊
HM73,電磁波
HM76,飛翔
HM77,自我暗示
HM78,重踏
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM100,密語
,
教,流星群
