學習條件,招式
基礎,雷電拳
基礎,電磁炮
基礎,磁場操控
基礎,等離子浴
基礎,龍之波動
基礎,火焰拳
基礎,撞擊
基礎,叫聲
基礎,電磁波
基礎,電擊
Lv4,電磁波
Lv8,電擊
Lv11,棉孢子
Lv16,充電
Lv20,猛撞
Lv25,電球
Lv29,奇異之光
Lv35,力量寶石
Lv40,放電
Lv46,棉花防守
Lv51,信號光束
Lv57,光牆
Lv62,打雷
Lv65,龍之波動
HM06,劇毒
HM10,覺醒力量
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM52,真氣彈
HM56,投擲
HM57,充電光束
HM59,狂舞揮打
HM68,終極衝擊
HM72,伏特替換
HM73,電磁波
HM78,重踏
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM93,瘋狂伏特
HM100,密語
,
遺,充電
遺,刺耳聲
遺,吹捧
遺,怪異電波
遺,您先請
遺,氣味偵測
遺,泰山壓頂
遺,潑沙
遺,猛撞
遺,鐵尾
遺,電氣場地
遺,高速移動
