學習條件,招式
基礎,暗影拳
基礎,預知未來
基礎,火焰拳
基礎,冰凍拳
基礎,雷電拳
基礎,重力
基礎,綁緊
基礎,瞪眼
基礎,黑夜魔影
基礎,定身法
基礎,驚嚇
Lv6,定身法
Lv9,驚嚇
Lv14,識破
Lv17,影子偷襲
Lv22,追打
Lv25,鬼火
Lv30,奇異之光
Lv33,詛咒
Lv40,禍不單行
Lv45,暗影球
Lv52,黑色目光
Lv57,以牙還牙
Lv64,預知未來
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM39,岩石封鎖
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM56,投擲
HM57,充電光束
HM61,鬼火
HM63,查封
HM66,以牙還牙
HM68,終極衝擊
HM77,自我暗示
HM78,重踏
HM80,岩崩
HM83,死纏爛打
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM97,惡之波動
HM100,密語
,
遺,出奇一擊
遺,分擔痛楚
遺,同命
遺,奇異之風
遺,封印
遺,怨念
遺,惡之波動
遺,特性互換
遺,臨別禮物
遺,黑霧
