學習條件,招式
未進化,珍藏
基礎,撞擊
Lv4,變圓
Lv9,瞬間失憶
Lv12,舌舔
Lv17,逐步擊破
Lv20,哈欠
Lv25,泰山壓頂
Lv28,睡覺
Lv28,打鼾
Lv33,夢話
Lv35,終極衝擊
Lv36,滾動
Lv41,擋路
Lv44,腹鼓
Lv49,咬碎
Lv50,重磅衝撞
Lv57,十萬馬力
HM01,自我激勵
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM23,擊落
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM68,終極衝擊
HM78,重踏
HM80,岩崩
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM93,瘋狂伏特
HM94,衝浪
HM100,密語
,
遺,吹飛
遺,地裂
遺,您先請
遺,打嗝
遺,捨身衝撞
遺,撒嬌
遺,自然之恩
遺,舌舔
遺,詛咒
遺,追打
遺,雙倍奉還
