學習條件,招式
基礎,冷凍乾燥
基礎,叫聲
基礎,細雪
基礎,電磁波
基礎,落石
Lv5,電磁波
Lv10,落石
Lv13,冰凍之風
Lv15,猛撞
Lv18,白霧
Lv20,極光束
Lv26,原始之力
Lv30,輪唱
Lv34,雪崩
Lv38,冰雹
Lv43,自然之力
Lv46,再來一次
Lv50,光牆
Lv56,冰凍光束
Lv63,破壞光線
Lv74,暴風雪
HM04,冥想
HM05,吼叫
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM32,影子分身
HM33,反射壁
HM37,沙暴
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM57,充電光束
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM73,電磁波
HM77,自我暗示
HM78,重踏
HM79,冰息
HM80,岩崩
HM82,龍尾
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM96,自然之力
HM97,惡之波動
HM100,密語
,
遺,屏障
遺,放電
遺,鏡面反射
遺,電磁飄浮
遺,黑霧
