學習條件,招式
未進化,躍起
基礎,暗影之光
基礎,宇宙力量
基礎,催眠術
基礎,瞬間移動
基礎,念力
Lv7,黑夜魔影
Lv13,奇異之光
Lv19,空氣斬
Lv23,暗影球
Lv31,月光
Lv37,暗黑爆破
Lv43,魔法反射
Lv47,月亮之力
Lv59,食夢
Lv61,潛靈奇襲
Lv67,廣域防守
Lv73,破壞光線
HM01,自我激勵
HM03,精神衝擊
HM04,冥想
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM16,光牆
HM17,守住
HM19,羽棲
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM40,燕返
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM52,真氣彈
HM57,充電光束
HM58,自由落體
HM61,鬼火
HM62,雜技
HM65,暗影爪
HM68,終極衝擊
HM73,電磁波
HM76,飛翔
HM77,自我暗示
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM99,魔法閃耀
HM100,密語
,沒有相關技能
