學習條件,招式
基礎,月光
基礎,晨光
基礎,充電光束
基礎,鏡光射擊
基礎,金屬爪
基礎,念力
Lv7,劈開
Lv13,輔助力量
Lv19,岩石爆擊
Lv23,暗襲要害
Lv31,重力
Lv37,精神利刃
Lv43,力量寶石
Lv47,身體輕量化
Lv53,隱形岩
Lv59,鐵壁
Lv67,絞緊
Lv73,棱鏡鐳射
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM15,破壞光線
HM16,光牆
HM17,守住
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM29,精神強念
HM31,劈瓦
HM32,影子分身
HM33,反射壁
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM46,小偷
HM48,輪唱
HM56,投擲
HM57,充電光束
HM59,狂舞揮打
HM63,查封
HM65,暗影爪
HM67,修長之角
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM73,電磁波
HM74,陀螺球
HM75,劍舞
HM78,重踏
HM80,岩崩
HM81,十字剪
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM92,戲法空間
HM97,惡之波動
HM100,密語
,
,沒有相關技能
